,idade,nota,sexo,estado,aprovados
75,33,830.8612311107014,M,RS,Aprovado
79,69,390.9752774475485,F,PE,Reprovados
81,80,679.3605779406076,F,MA,Aprovado
83,46,878.8198978993432,F,CE,Aprovado
84,77,607.8700930672823,F,RJ,Aprovado
87,36,199.61583276268024,M,MT,Reprovados
88,26,458.93152441884155,F,PE,Reprovados
89,25,445.0333909171509,F,MG,Reprovados
90,54,847.933827193838,M,BA,Aprovado
95,62,304.85549053581394,F,MT,Reprovados
98,63,127.2226447139313,M,RO,Reprovados
99,49,400.44369397303615,M,RR,Reprovados
103,33,0.0,F,SC,Reprovados
104,66,887.2320539461383,M,RS,Aprovado
106,31,829.7331326244187,F,RS,Aprovado
109,20,836.5715709812466,F,AM,Aprovado
110,68,703.4342181848837,M,RJ,Aprovado
113,28,509.12455953306323,F,RJ,Reprovados
114,65,779.8045172436051,M,GO,Aprovado
115,56,830.2939638641772,F,AP,Aprovado
117,21,942.4065216468964,F,RS,Aprovado
118,38,472.95042609296354,M,PR,Reprovados
120,27,720.4334231408948,M,AL,Aprovado
122,19,0.0,F,PI,Reprovados
123,73,864.1424130720304,F,RR,Aprovado
125,42,349.7834932218351,M,AL,Reprovados
126,73,765.5281395501894,F,SC,Aprovado
127,30,605.5950536355232,F,AL,Aprovado
128,53,407.79433294430976,M,DF,Reprovados
129,54,772.3390255019686,F,GO,Aprovado
132,50,405.1536517743112,F,AP,Reprovados
133,34,321.38111578194173,F,MT,Reprovados
134,69,623.5979994737405,M,MS,Aprovado
135,53,581.9625044236271,M,BA,Reprovados
136,49,31.83912856534199,M,PI,Reprovados
137,79,187.74299133505014,M,PB,Reprovados
139,80,624.0831288248174,F,MG,Aprovado
141,65,0.0,M,SP,Reprovados
143,18,882.1057080153785,F,CE,Aprovado
144,37,0.0,F,CE,Reprovados
146,23,486.63482131834536,M,PA,Reprovados
147,64,651.0257441113487,F,SE,Aprovado
152,57,417.9225800849615,M,BA,Reprovados
153,42,78.78792180301397,F,PR,Reprovados
154,55,983.7401652712214,M,RR,Aprovado
155,39,859.9293530824715,M,AP,Aprovado
157,68,363.4553888186349,F,PR,Reprovados
159,42,401.1078373271667,M,CE,Reprovados
162,46,277.53459323670415,M,PA,Reprovados
163,29,581.1323777599844,F,RS,Reprovados
164,32,435.28997618616114,F,DF,Reprovados
165,66,604.5139745436959,F,SC,Aprovado
166,41,830.4014720847588,M,BA,Aprovado
167,49,325.4348118209268,F,PE,Reprovados
168,37,524.9004834274248,F,ES,Reprovados
169,60,475.1609769949889,M,PI,Reprovados
170,28,640.0851833313465,F,PB,Aprovado
174,32,258.15732910438817,F,RN,Reprovados
176,47,136.42027786617294,F,AP,Reprovados
179,21,520.845401641043,F,SP,Reprovados
180,68,891.8153149289452,M,AL,Aprovado
181,28,993.230818139662,F,PA,Aprovado
182,68,547.1293134936714,M,CE,Reprovados
183,56,295.9460368107434,M,SP,Reprovados
184,73,252.48449811235463,F,PE,Reprovados
186,76,630.5198066381654,M,BA,Aprovado
187,21,445.75670212840924,F,MG,Reprovados
188,50,386.8943268791981,M,RJ,Reprovados
191,58,96.82296288460267,M,MT,Reprovados
192,50,656.7120255015689,F,BA,Aprovado
193,80,425.04994090510064,M,SC,Reprovados
194,28,84.18829945830697,M,SC,Reprovados
195,35,201.52890980062344,M,RN,Reprovados
196,52,0.0,M,RN,Reprovados
197,50,836.0193492051058,M,ES,Aprovado
198,32,347.36813147541045,M,MS,Reprovados
202,65,0.0,F,RN,Reprovados
204,77,0.0,M,SC,Reprovados
205,59,972.0230871835623,M,MT,Aprovado
206,60,886.6320354530212,F,RR,Aprovado
207,77,457.89473332326423,F,SP,Reprovados
210,73,867.2236230388037,M,RR,Aprovado
212,62,96.23263522529635,M,TO,Reprovados
214,39,0.0,M,RR,Reprovados
215,21,0.0,M,DF,Reprovados
216,25,706.4974672526154,M,ES,Aprovado
217,78,398.3727744266262,M,PA,Reprovados
218,62,502.39982693789943,F,SC,Reprovados
220,49,380.80994978135953,F,PA,Reprovados
221,43,446.5503995103619,M,BA,Reprovados
222,69,795.3626050004557,M,MA,Aprovado
224,41,640.187623167623,F,MG,Aprovado
225,32,864.5824334789963,M,MT,Aprovado
226,73,25.958484426396367,M,AL,Reprovados
227,75,522.9205341919169,M,RJ,Reprovados
229,55,53.506416689861446,M,MA,Reprovados
234,20,26.111188189764324,M,AC,Reprovados
235,74,45.62925821566388,M,TO,Reprovados
236,30,0.0,M,MS,Reprovados
237,50,208.9223603355761,M,SP,Reprovados
238,51,427.6944426460809,M,DF,Reprovados
239,26,0.0,F,PR,Reprovados
241,73,989.2372859290728,F,RO,Aprovado
243,61,23.82446288635243,F,PR,Reprovados
245,65,890.7867251751031,M,SC,Aprovado
246,80,771.6994973389477,M,AC,Aprovado
248,48,827.6757539797467,F,PB,Aprovado
250,55,183.3753544997456,M,PB,Reprovados
251,54,0.0,M,RO,Reprovados
252,29,0.0,M,MS,Reprovados
255,77,0.0,F,RN,Reprovados
256,36,448.4427111101603,M,PB,Reprovados
257,67,944.0945640718928,M,GO,Aprovado
258,71,353.3947662727317,M,ES,Reprovados
260,23,990.2066167680484,M,AP,Aprovado
261,37,0.0,M,MG,Reprovados
262,71,0.0,F,AM,Reprovados
263,26,197.27299953357613,F,MT,Reprovados
266,36,233.72913507765782,M,CE,Reprovados
268,80,869.1942422682432,M,RS,Aprovado
269,29,579.6025959508534,M,PA,Reprovados
270,35,0.0,M,CE,Reprovados
271,46,0.0,F,PA,Reprovados
273,41,348.01624128651144,M,AC,Reprovados
274,25,981.447135637229,F,SE,Aprovado
275,54,530.4961741652274,F,SE,Reprovados
276,28,887.3441250362384,M,PE,Aprovado
277,76,522.4930028804727,F,DF,Reprovados
278,71,0.0,F,AP,Reprovados
279,24,0.0,F,RJ,Reprovados
280,52,805.9179235438353,F,PB,Aprovado
281,25,230.7498892287374,F,AM,Reprovados
282,31,786.6311045769585,M,PR,Aprovado
284,68,487.7369115346617,F,MG,Reprovados
286,24,871.6944096259128,M,AC,Aprovado
290,63,241.0233732214503,M,CE,Reprovados
293,56,734.5993207453674,F,CE,Aprovado
294,43,754.0725600967033,F,GO,Aprovado
296,70,344.43529445323463,F,RO,Reprovados
297,71,95.48909245950531,M,PR,Reprovados
299,56,0.0,F,MT,Reprovados
300,24,1.6690065819363609,F,MT,Reprovados
303,53,71.72470637643113,M,MA,Reprovados
310,29,0.0,F,SC,Reprovados
311,77,0.0,F,SE,Reprovados
319,56,0.0,M,AM,Reprovados
320,47,0.0,M,AP,Reprovados
321,55,635.5677040069902,M,PE,Aprovado
322,55,630.1483517872733,M,PE,Aprovado
325,46,957.2183442129697,M,RO,Aprovado
327,24,142.62370961869541,F,SC,Reprovados
328,50,238.02817701148936,F,PA,Reprovados
332,63,563.4418274424623,F,MT,Reprovados
335,61,380.8520407368494,M,MT,Reprovados
336,55,725.6524046214936,M,PI,Aprovado
337,47,120.61608824910131,F,PR,Reprovados
339,57,775.789071754481,F,TO,Aprovado
340,30,152.09818711603774,M,MG,Reprovados
343,54,627.024197410933,M,PA,Aprovado
344,52,780.5342319656604,M,GO,Aprovado
345,76,389.74780508583797,F,PE,Reprovados
347,37,466.5433731647045,F,PB,Reprovados
348,75,949.1075007061507,M,BA,Aprovado
353,23,390.5049146736197,M,AM,Reprovados
354,79,118.37615543837299,M,GO,Reprovados
356,61,516.5294678192321,M,SE,Reprovados
357,51,131.41640867780546,F,RS,Reprovados
358,49,736.5053418218592,M,RJ,Aprovado
361,50,987.111831438685,F,AP,Aprovado
363,63,907.6475487039006,F,RO,Aprovado
364,54,840.9092976295439,M,MT,Aprovado
367,70,0.0,M,AL,Reprovados
368,47,23.908429146891287,F,CE,Reprovados
369,63,835.263783681082,M,RJ,Aprovado
370,77,732.563850107867,M,PE,Aprovado
371,38,743.00211755568,F,RN,Aprovado
372,39,0.0,F,ES,Reprovados
373,32,140.69824551283804,F,SP,Reprovados
374,63,523.5031375801235,F,GO,Reprovados
376,53,497.33336825899386,F,RO,Reprovados
377,67,900.1931154752259,M,AP,Aprovado
378,65,0.0,F,PR,Reprovados
380,39,126.78414893834788,M,GO,Reprovados
381,71,507.6115747490608,M,PE,Reprovados
382,45,0.0,M,SP,Reprovados
383,80,481.32898324073057,F,PR,Reprovados
385,69,0.0,M,RJ,Reprovados
386,78,0.0,M,PR,Reprovados
387,56,351.92691825641276,F,BA,Reprovados
388,75,139.99036252661145,F,RN,Reprovados
389,23,0.0,F,BA,Reprovados
390,27,420.1658505556979,F,SE,Reprovados
392,71,475.799532764011,F,RN,Reprovados
393,25,494.62272526947925,F,DF,Reprovados
396,21,403.1447467225058,M,PR,Reprovados
397,80,627.0653218857235,M,RR,Aprovado
399,42,396.95334665610795,M,RS,Reprovados
401,75,226.16352339616074,F,RR,Reprovados
402,59,962.8371305415195,F,AL,Aprovado
405,50,574.9398891766235,M,PA,Reprovados
406,74,34.76274483948516,M,GO,Reprovados
409,34,57.94339246954494,M,SC,Reprovados
411,25,442.0857691802472,F,MA,Reprovados
413,24,0.0,F,SP,Reprovados
414,76,672.8672743152802,M,MT,Aprovado
416,21,149.6939002266101,F,PR,Reprovados
417,48,994.7993140464438,M,AM,Aprovado
420,30,171.7853942929417,M,BA,Reprovados
421,71,200.86309860543082,F,PI,Reprovados
422,25,914.3212323677399,M,MA,Aprovado
423,26,184.49229566380708,F,PA,Reprovados
424,66,0.0,F,PB,Reprovados
427,38,486.0872202844159,F,SC,Reprovados
428,71,290.10176366856166,M,MG,Reprovados
430,29,2.965636520006809,M,ES,Reprovados
431,36,839.2569119044125,M,PB,Aprovado
432,76,0.0,F,AC,Reprovados
433,64,681.6696629058274,M,RS,Aprovado
437,32,936.4385043065708,F,AC,Aprovado
439,49,0.5276840335149968,M,BA,Reprovados
440,38,651.478113147585,M,ES,Aprovado
441,38,917.3545917028468,M,PR,Aprovado
442,55,896.718661888517,M,RN,Aprovado
444,74,711.1882707092434,F,RN,Aprovado
445,39,748.9492733750659,F,TO,Aprovado
447,74,191.6877811224913,F,ES,Reprovados
448,49,145.08985331911904,M,MS,Reprovados
449,78,313.114699193407,M,RO,Reprovados
450,52,804.2224552215812,M,RO,Aprovado
451,61,76.12814400463586,F,RO,Reprovados
452,39,0.0,M,AM,Reprovados
453,51,171.72580720830953,M,RJ,Reprovados
456,65,0.0,F,MA,Reprovados
457,77,0.0,M,SC,Reprovados
458,41,0.0,F,PE,Reprovados
459,79,475.2145939526622,M,PE,Reprovados
460,42,252.91575751315997,F,MG,Reprovados
462,28,831.8433610773626,F,RS,Aprovado
465,71,331.82407568066816,F,AM,Reprovados
466,21,0.0,F,RN,Reprovados
468,19,797.5622365680375,M,AC,Aprovado
469,64,93.43651981375612,M,PE,Reprovados
470,38,349.12603512673877,M,MT,Reprovados
472,25,28.984072540118365,M,PR,Reprovados
474,30,721.1972948937469,M,AC,Aprovado
477,58,315.4767194980771,M,AP,Reprovados
478,46,516.7151328053412,F,MA,Reprovados
483,79,0.0,F,ES,Reprovados
484,54,348.4806624357424,F,RN,Reprovados
485,41,0.0,F,DF,Reprovados
487,28,373.6874069877126,F,RJ,Reprovados
489,49,0.0,F,SP,Reprovados
492,55,0.0,M,AC,Reprovados
493,74,317.9858201309419,M,PA,Reprovados
496,70,0.0,F,SE,Reprovados
497,34,0.0,F,MT,Reprovados
498,32,714.264496281331,F,PR,Aprovado
499,64,51.40298567696178,M,SP,Reprovados
500,39,86.6343148266998,M,SP,Reprovados
504,72,848.4069517155939,M,MA,Aprovado
506,18,472.09414387794754,M,RO,Reprovados
507,43,811.4057203916908,M,MA,Aprovado
508,22,287.42402488690055,F,SP,Reprovados
509,72,577.1675381623974,M,MS,Reprovados
511,66,610.3285906578933,F,MA,Aprovado
512,26,379.0554031564036,M,MG,Reprovados
513,70,0.0,M,PB,Reprovados
514,62,276.42540279944086,M,AL,Reprovados
516,42,936.441618126733,M,PB,Aprovado
519,42,311.45441314531206,F,MG,Reprovados
520,57,0.0,F,RS,Reprovados
523,39,0.0,M,CE,Reprovados
530,77,468.1847565738871,M,ES,Reprovados
531,38,0.0,M,PE,Reprovados
532,23,572.3878551753565,M,RO,Reprovados
533,53,166.55392209728737,F,SE,Reprovados
534,51,995.8303401322415,M,RJ,Aprovado
535,41,142.0293754733386,F,CE,Reprovados
536,61,855.7623035770652,F,AM,Aprovado
537,59,438.36419680236196,M,SE,Reprovados
538,43,986.5692413778827,F,BA,Aprovado
539,18,818.8862108902567,F,PB,Aprovado
540,44,412.3777281199421,M,MG,Reprovados
542,62,942.6947553405029,F,MG,Aprovado
544,38,875.2654453005412,F,TO,Aprovado
545,70,0.0,F,DF,Reprovados
546,79,439.8189588777567,F,DF,Reprovados
549,43,815.6910969674807,F,AP,Aprovado
550,47,214.70619405575908,M,RO,Reprovados
551,20,85.26461154791764,F,PE,Reprovados
552,28,797.7916739305136,F,AP,Aprovado
556,57,582.5920352038042,F,PI,Reprovados
558,43,0.0,M,AP,Reprovados
559,26,293.0395893324742,F,AP,Reprovados
560,19,987.756764939384,M,BA,Aprovado
561,20,594.7059310098308,M,AM,Reprovados
563,33,900.543448898192,M,MG,Aprovado
565,32,694.5565081870557,M,MG,Aprovado
566,32,136.98776006756853,F,PA,Reprovados
567,29,639.5652134589791,F,GO,Aprovado
571,24,53.24489399124632,M,DF,Reprovados
572,21,982.5576929315405,F,DF,Aprovado
574,68,428.91406985454137,F,PE,Reprovados
575,49,19.65675750810403,M,AP,Reprovados
576,20,0.0,F,SP,Reprovados
577,23,685.0609158314268,M,PB,Aprovado
578,30,0.0,F,RN,Reprovados
579,33,262.644868025404,M,MA,Reprovados
580,66,0.0,F,RO,Reprovados
581,79,442.8881966711059,F,MS,Reprovados
582,43,0.0,F,PI,Reprovados
584,61,480.6424179131332,F,AM,Reprovados
586,73,306.5652956883357,F,SP,Reprovados
587,48,0.0,F,PR,Reprovados
588,32,359.55857644501197,M,BA,Reprovados
589,62,724.5494440626891,M,RO,Aprovado
592,59,381.0392924626332,F,RS,Reprovados
593,26,625.4453907360175,F,MG,Aprovado
595,26,611.6850725511144,F,PI,Aprovado
599,58,823.2328576513396,F,RN,Aprovado
600,44,275.30285172455524,F,PB,Reprovados
602,36,618.7196388913125,M,AP,Aprovado
607,80,84.8210107342986,F,MG,Reprovados
608,72,0.0,M,PE,Reprovados
611,43,854.2066799105685,F,RN,Aprovado
613,54,703.9894506748512,F,MA,Aprovado
614,20,0.0,F,PE,Reprovados
616,64,292.44487513002923,M,AC,Reprovados
617,47,160.94141992341514,F,SP,Reprovados
619,57,391.60847347164196,F,BA,Reprovados
620,20,899.7629606327631,F,RN,Aprovado
622,50,705.159431506994,M,AL,Aprovado
624,60,0.0,F,PE,Reprovados
625,50,433.22885828006696,M,MA,Reprovados
629,71,727.767460545337,F,AP,Aprovado
630,28,0.0,M,SE,Reprovados
631,75,253.6522941589986,M,SE,Reprovados
632,52,348.1588592865239,F,SP,Reprovados
633,63,976.0382483160216,M,RR,Aprovado
634,72,544.6726039028226,M,AM,Reprovados
635,61,0.0,F,MG,Reprovados
636,40,0.0,M,MA,Reprovados
637,79,968.5934908755326,M,RJ,Aprovado
638,45,0.0,M,SE,Reprovados
639,71,869.5647927714748,M,PB,Aprovado
640,72,592.6074834259332,M,ES,Reprovados
642,79,153.7148496775156,F,MT,Reprovados
643,74,0.0,F,RS,Reprovados
644,53,0.0,F,RJ,Reprovados
645,65,67.30468701810611,F,AM,Reprovados
646,33,545.4140577659633,M,RJ,Reprovados
647,38,348.623583093837,F,SE,Reprovados
648,42,0.0,M,MG,Reprovados
649,63,754.8540973456203,F,RR,Aprovado
651,76,63.406964122205146,M,RS,Reprovados
653,42,0.0,F,RR,Reprovados
656,71,804.0581572215121,M,RS,Aprovado
657,19,410.8189129228359,F,MA,Reprovados
659,53,187.84137989187977,M,RR,Reprovados
661,71,744.3592547409614,F,RR,Aprovado
662,50,271.45749094241165,F,PE,Reprovados
663,79,389.8739468623613,F,SP,Reprovados
664,41,687.899142235378,F,PR,Aprovado
665,68,288.84505893273007,F,PA,Reprovados
669,61,16.616662936358328,M,PA,Reprovados
670,48,804.6125205050436,M,MS,Aprovado
672,71,0.0,F,PI,Reprovados
674,42,193.38365892629784,F,RO,Reprovados
675,74,921.8571167081751,M,MA,Aprovado
680,30,156.72955265518462,F,DF,Reprovados
682,78,100.70772042179732,F,RN,Reprovados
683,18,640.4121857890208,M,SP,Aprovado
684,71,718.3920140959667,M,MA,Aprovado
685,52,546.778842447677,M,AL,Reprovados
687,67,298.00598961785727,F,BA,Reprovados
688,34,0.0,F,MG,Reprovados
694,30,413.80778311053814,F,AP,Reprovados
695,69,168.90033745585364,M,RO,Reprovados
696,78,743.9347862181919,M,RO,Aprovado
697,61,380.5088617293712,M,AP,Reprovados
698,73,0.0,M,MG,Reprovados
699,26,706.9389567292499,M,PA,Aprovado
700,26,643.5456176154202,F,RN,Aprovado
701,72,232.84140078243564,M,DF,Reprovados
702,66,190.06859188477253,M,SP,Reprovados
703,51,75.37833475810218,M,RO,Reprovados
704,71,297.4192763961335,F,CE,Reprovados
706,23,0.0,M,MA,Reprovados
708,80,445.45539369594445,F,MS,Reprovados
709,72,137.37579854697367,F,PA,Reprovados
710,61,0.0,F,AL,Reprovados
711,60,897.743455127266,M,TO,Aprovado
713,40,0.0,F,RR,Reprovados
715,63,433.67124035969596,M,SP,Reprovados
718,43,608.9297488216625,M,PA,Aprovado
719,63,722.3149871169288,F,RS,Aprovado
720,53,781.6130354207041,M,MA,Aprovado
721,46,433.2599849459998,M,MG,Reprovados
727,58,192.19320982899913,M,PE,Reprovados
729,24,574.4273763739999,M,AL,Reprovados
730,73,863.547409130814,M,RR,Aprovado
732,41,536.9773866277582,F,RR,Reprovados
733,18,494.2274910861777,M,AP,Reprovados
735,25,881.7030722058481,F,PI,Aprovado
737,18,494.9462786620227,M,MA,Reprovados
738,53,0.0,M,GO,Reprovados
739,25,360.4589499499835,F,RJ,Reprovados
740,78,0.0,M,MS,Reprovados
742,46,370.3572101853417,M,RS,Reprovados
743,44,137.50098224320263,F,DF,Reprovados
744,62,553.2578516191195,F,SP,Reprovados
745,52,366.2733989356427,M,PI,Reprovados
747,65,874.2284378837853,F,GO,Aprovado
748,63,261.8100977941992,M,DF,Reprovados
749,65,215.1162048196027,M,PB,Reprovados
751,36,0.0,F,RJ,Reprovados
752,55,989.2365115704202,M,RO,Aprovado
755,79,363.1063380787302,F,AL,Reprovados
757,68,0.0,F,DF,Reprovados
759,75,759.4512481949956,M,TO,Aprovado
760,74,0.0,M,RR,Reprovados
761,44,699.1941985139136,M,BA,Aprovado
762,55,527.2184256022441,M,AM,Reprovados
763,39,50.09231114140078,F,CE,Reprovados
764,42,651.6485782078029,M,DF,Aprovado
765,62,536.1477631347323,M,PI,Reprovados
766,35,500.9418281357181,M,MG,Reprovados
767,46,0.0,M,RR,Reprovados
768,24,46.899609774533005,F,MG,Reprovados
770,52,17.156486079242693,M,RO,Reprovados
771,30,60.525224318976335,F,AC,Reprovados
772,34,394.3013313657406,F,CE,Reprovados
776,68,901.2932412117964,M,AP,Aprovado
777,31,290.7746890319494,M,PI,Reprovados
783,62,0.0,F,DF,Reprovados
785,31,0.0,M,TO,Reprovados
787,80,64.3730949493122,F,MG,Reprovados
789,75,0.0,M,RS,Reprovados
791,47,996.988856282834,F,MG,Aprovado
792,61,272.2866473216736,M,SC,Reprovados
793,43,866.0341943681063,M,SE,Aprovado
794,61,95.7799556046538,F,GO,Reprovados
795,55,0.0,F,MA,Reprovados
800,73,804.220217509928,F,RN,Aprovado
801,44,949.9448264595627,M,BA,Aprovado
802,20,509.49562942114324,M,PE,Reprovados
803,79,391.92089957958666,M,SP,Reprovados
806,33,35.31223504106906,M,SP,Reprovados
807,27,581.5265725833209,F,TO,Reprovados
810,64,22.596885272726077,F,RJ,Reprovados
811,18,349.4226805189673,F,RJ,Reprovados
812,63,400.5260468491425,F,AM,Reprovados
813,43,466.4727690779014,F,PR,Reprovados
814,72,668.0570459235823,M,PA,Aprovado
815,52,539.0269143782629,F,RJ,Reprovados
816,28,126.84956653855816,F,AM,Reprovados
817,55,85.43933755201883,F,TO,Reprovados
819,75,0.0,F,RO,Reprovados
820,36,863.8680026883396,F,PR,Aprovado
821,20,356.00940589924966,F,MA,Reprovados
825,79,353.17383851626073,M,ES,Reprovados
826,61,0.0,M,MS,Reprovados
830,56,986.5978150806503,F,MS,Aprovado
833,64,872.1204359704615,M,ES,Aprovado
835,77,78.69800590574071,F,MS,Reprovados
836,79,311.5375321093664,F,AC,Reprovados
837,64,643.8626951587776,M,MA,Aprovado
838,34,446.5439632072542,F,SP,Reprovados
839,63,782.2531766024632,M,TO,Aprovado
840,42,323.4393244256094,F,MA,Reprovados
841,40,12.823253239259813,F,GO,Reprovados
842,72,352.7515013048991,M,PB,Reprovados
844,55,0.0,F,AM,Reprovados
845,30,174.99784952638242,F,SE,Reprovados
846,25,989.7183137035843,M,GO,Aprovado
848,68,364.26441214100345,M,RS,Reprovados
849,64,341.9754543256549,M,MA,Reprovados
850,27,937.77776475091,F,AL,Aprovado
852,32,782.2623217832387,M,RO,Aprovado
854,40,504.54891470157446,M,MT,Reprovados
855,69,173.40112987672296,M,DF,Reprovados
856,35,164.80999108044003,M,PA,Reprovados
857,21,57.421050142588356,M,MT,Reprovados
858,71,761.8020775771187,F,MA,Aprovado
860,64,0.0,F,SP,Reprovados
861,18,318.87950098314025,F,PE,Reprovados
862,59,0.0,F,MG,Reprovados
863,33,561.8518738729058,F,GO,Reprovados
864,60,0.0,F,DF,Reprovados
865,33,993.7195110069989,M,AM,Aprovado
866,58,992.9826607584258,M,PI,Aprovado
867,18,150.4378918319459,M,PA,Reprovados
870,77,379.0723644673398,M,TO,Reprovados
871,71,97.22103313243392,F,RN,Reprovados
874,68,0.0,M,RN,Reprovados
876,23,0.0,M,ES,Reprovados
877,18,713.2393661960232,F,PR,Aprovado
878,21,776.2378827535665,F,BA,Aprovado
879,65,620.437067548248,F,PI,Aprovado
881,74,868.4870851523028,F,MA,Aprovado
882,64,599.3821025374946,F,GO,Reprovados
884,54,230.47895033334154,M,PR,Reprovados
885,32,670.5192158898002,M,GO,Aprovado
886,39,0.0,M,MT,Reprovados
887,62,938.8063579344808,F,RN,Aprovado
890,75,927.9308639455878,F,SP,Aprovado
891,63,773.7595995973037,M,RR,Aprovado
892,55,94.67069150394613,F,PR,Reprovados
893,18,686.124396149137,M,SE,Aprovado
894,62,826.2927313036923,F,BA,Aprovado
897,29,18.896276905069232,F,BA,Reprovados
900,63,862.651658772856,M,PE,Aprovado
902,30,0.0,F,BA,Reprovados
903,18,641.7994324538255,F,CE,Aprovado
904,39,0.0,F,GO,Reprovados
905,61,655.6683835517323,M,DF,Aprovado
906,25,0.0,F,PB,Reprovados
907,53,605.1371932335068,F,PI,Aprovado
908,58,342.6314555171845,M,MT,Reprovados
911,44,23.251029795211544,M,CE,Reprovados
912,32,701.7075618125631,F,PE,Aprovado
914,77,719.047496466356,F,RS,Aprovado
915,27,74.9852660206215,F,ES,Reprovados
916,65,632.6496357520673,F,RJ,Aprovado
917,24,829.5359673601898,F,RS,Aprovado
918,20,0.0,F,RO,Reprovados
919,51,772.5120170915744,M,ES,Aprovado
922,49,0.0,F,MS,Reprovados
924,28,308.1685788815045,M,PE,Reprovados
926,64,0.0,M,MA,Reprovados
928,52,668.2672377140829,M,RR,Aprovado
930,21,207.41697728288187,M,AM,Reprovados
931,59,18.69860102608989,F,BA,Reprovados
932,26,783.1902902396511,F,SC,Aprovado
935,73,118.45602882123873,F,GO,Reprovados
937,75,713.7223025411112,M,MT,Aprovado
938,66,31.675972367535277,M,RO,Reprovados
940,35,392.86359449321327,F,PR,Reprovados
941,60,712.2942542266023,M,RR,Aprovado
942,73,0.0,M,PE,Reprovados
943,58,301.26819987276355,F,PR,Reprovados
944,20,506.6357342032869,M,ES,Reprovados
945,73,0.0,M,TO,Reprovados
946,31,0.0,F,PI,Reprovados
947,69,996.3061772927292,M,AM,Aprovado
948,53,689.5846368362027,M,MT,Aprovado
949,34,44.41999238176375,F,PE,Reprovados
950,28,862.3268162355613,F,TO,Aprovado
951,55,534.8818596644543,M,AP,Reprovados
952,63,799.4008431041325,M,RJ,Aprovado
953,53,840.7619174733128,M,CE,Aprovado
955,28,853.9491402247509,M,CE,Aprovado
956,42,720.3440215347294,M,PA,Aprovado
957,41,0.0,F,RR,Reprovados
958,40,0.0,F,RS,Reprovados
959,47,692.3617541670275,F,AP,Aprovado
960,51,927.8980429939963,M,MT,Aprovado
962,53,282.7796716680989,F,AL,Reprovados
963,56,419.126894699971,F,RJ,Reprovados
964,37,895.4292993369024,F,MS,Aprovado
965,42,230.1452412199898,F,MG,Reprovados
966,39,829.1369966259183,F,DF,Aprovado
967,22,633.7528426993572,M,MG,Aprovado
968,48,860.1767550368068,F,RS,Aprovado
970,70,134.40115440409085,M,MT,Reprovados
971,79,0.0,M,AL,Reprovados
972,76,734.7464783781228,M,RJ,Aprovado
974,22,161.56036914093707,F,RJ,Reprovados
975,19,0.0,F,DF,Reprovados
977,66,321.1369178105312,M,PA,Reprovados
979,21,835.5692668442274,F,MT,Aprovado
980,44,140.0711282658078,M,SE,Reprovados
982,51,0.0,F,RJ,Reprovados
984,54,891.2432525470017,M,PA,Aprovado
985,21,513.7494887931825,M,AL,Reprovados
987,31,0.0,M,MG,Reprovados
988,18,352.8493555333473,F,PI,Reprovados
990,28,0.0,F,PE,Reprovados
